"DGUID","srpop21","srpop26","srpop31"
"2021S051235250910",195,300,425
"2021S051235250911",50,100,155
"2021S051235250912",90,150,230
"2021S051235250913",140,180,210
"2021S051235250914",170,215,255
"2021S051235250918",1520,1675,1755
"2021S051235250919",125,185,270
"2021S051235250920",185,275,390
"2021S051235250922",125,175,235
"2021S051235250923",75,115,155
"2021S051235250924",70,110,140
"2021S051235250925",115,185,235
"2021S051235250928",85,120,170
"2021S051235250929",100,135,185
"2021S051235250930",130,175,225
"2021S051235250931",125,180,240
"2021S051235250932",185,230,280
"2021S051235250933",80,120,165
"2021S051235250934",85,130,180
"2021S051235250935",540,650,715
"2021S051235250936",155,210,290
"2021S051235250937",210,295,395
"2021S051235250938",150,200,255
"2021S051235250939",130,195,260
"2021S051235250940",120,155,205
"2021S051235250941",150,210,270
"2021S051235250942",90,135,190
"2021S051235250943",185,240,315
"2021S051235250944",70,95,140
"2021S051235250945",90,135,195
"2021S051235250946",155,195,225
"2021S051235250949",70,95,130
"2021S051235250950",40,80,125
"2021S051235250951",40,60,130
"2021S051235250953",45,80,95
"2021S051235250954",25,45,75
"2021S051235250955",0,10,25
"2021S051235250956",335,400,435
"2021S051235250957",45,60,90
"2021S051235250958",55,85,105
"2021S051235250959",75,100,165
"2021S051235250960",40,70,100
"2021S051235250961",40,65,95
"2021S051235250962",85,120,155
"2021S051235250964",145,185,235
"2021S051235250965",75,100,125
"2021S051235250966",0,0,0
"2021S051235250967",375,445,500
"2021S051235250968",60,105,130
"2021S051235250969",75,105,140
"2021S051235250970",70,110,145
"2021S051235250971",90,140,185
"2021S051235250972",90,120,150
"2021S051235250973",85,120,155
"2021S051235250974",105,135,175
"2021S051235250975",110,145,180
"2021S051235250976",80,105,140
"2021S051235250978",185,270,380
"2021S051235250980",70,85,120
"2021S051235250981",365,540,755
"2021S051235250982",310,320,325
"2021S051235250983",70,120,160
"2021S051235250985",180,280,400
"2021S051235250986",230,365,525
"2021S051235250987",155,210,270
"2021S051235250988",115,185,280
"2021S051235250989",95,160,230
"2021S051235250990",115,135,165
"2021S051235250991",130,165,210
"2021S051235250992",45,75,115
"2021S051235250993",40,50,60
"2021S051235250994",320,395,480
"2021S051235250995",490,620,740
"2021S051235250996",195,265,365
"2021S051235250997",635,720,770
"2021S051235250998",150,205,255
"2021S051235250999",285,360,470
"2021S051235251000",45,80,135
"2021S051235251001",90,135,190
"2021S051235251002",55,90,145
"2021S051235251003",60,85,110
"2021S051235251004",70,90,115
"2021S051235251005",220,280,355
"2021S051235251006",205,265,340
"2021S051235251007",120,185,285
"2021S051235251008",75,115,150
"2021S051235251009",95,135,220
"2021S051235251010",65,105,150
"2021S051235251011",240,305,390
"2021S051235251012",70,110,155
"2021S051235251013",75,100,175
"2021S051235251014",35,50,85
"2021S051235251015",65,115,180
"2021S051235251016",50,90,140
"2021S051235251017",40,70,115
"2021S051235251018",60,110,180
"2021S051235251019",55,85,135
"2021S051235251020",120,190,275
"2021S051235251021",90,140,210
"2021S051235251023",95,135,185
"2021S051235251024",105,160,235
"2021S051235251025",75,115,145
"2021S051235251026",125,170,210
"2021S051235251027",480,660,815
"2021S051235251028",270,430,575
"2021S051235251029",535,825,1225
"2021S051235251030",70,100,130
"2021S051235251031",35,65,100
"2021S051235251032",35,60,90
"2021S051235251033",225,280,325
"2021S051235251035",175,205,245
"2021S051235251036",55,90,130
"2021S051235251037",125,175,230
"2021S051235251038",150,250,400
"2021S051235251039",285,395,560
"2021S051235251040",320,455,565
"2021S051235251041",115,175,260
"2021S051235251042",230,325,400
"2021S051235251043",170,245,325
"2021S051235251044",430,545,630
"2021S051235251045",105,170,235
"2021S051235251046",115,190,280
"2021S051235251047",210,245,305
"2021S051235251048",95,130,165
"2021S051235251049",300,410,495
"2021S051235251051",225,350,510
"2021S051235251052",100,145,205
"2021S051235251053",65,85,110
"2021S051235251054",50,85,120
"2021S051235251055",100,140,175
"2021S051235251056",130,185,265
"2021S051235251058",150,210,285
"2021S051235251059",235,300,350
"2021S051235251060",150,215,325
"2021S051235251062",210,300,365
"2021S051235251064",85,125,175
"2021S051235251065",80,120,195
"2021S051235251066",150,235,335
